sgRNA	gene	HL60.final	KBM7.final
p2877736	ADD1	1220	969
p2877743	ADD1	1155	1591
p2877761	ADD1	1696	1882
m111860427	ADD3	1082	1216
m111860445	ADD3	1646	934
m111860450	ADD3	2617	3137
m111860456	ADD3	2002	1201
m111860540	ADD3	2167	1575
p111860411	ADD3	829	1630
p111860500	ADD3	1798	1978
p111860505	ADD3	984	1023
p111860545	ADD3	1977	2029
p111860553	ADD3	2512	1755
m100003154	ADH5	416	798
m100003254	ADH5	1376	1879
m100006267	ADH5	3313	3502
m100006354	ADH5	2604	2435
m100009841	ADH5	3324	3483
p100002504	ADH5	1225	1641
p100002510	ADH5	716	1270
p100002584	ADH5	2178	2515
p100003219	ADH5	71	223
p100003224	ADH5	542	1124
m100349694	ADH7	1627	1566
m100350690	ADH7	581	668
m100350735	ADH7	1228	793
m100350762	ADH7	2255	2111
p100349698	ADH7	1576	2712
p100349706	ADH7	272	956
p100349757	ADH7	814	1257
p100350692	ADH7	649	1596
p100350718	ADH7	363	114
p100350724	ADH7	712	560
m3517677	ADI1	359	706
m3523156	ADI1	1020	1658
m3523162	ADI1	575	1011
m3523239	ADI1	644	1113
m3523246	ADI1	1984	1698
m3523251	ADI1	3383	3536
p3517642	ADI1	644	1989
p3517660	ADI1	1496	1344
p3523164	ADI1	1012	1748
p3523171	ADI1	894	437
m88728302	ADIRF	491	180
m88728350	ADIRF	207	305
m88729968	ADIRF	984	823
p88728292	ADIRF	1745	1300
p88728315	ADIRF	2047	1778
p88728321	ADIRF	1087	1063
p88729942	ADIRF	962	1344
p88729951	ADIRF	437	594
p88729975	ADIRF	331	532
p88729984	ADIRF	1780	2371
m75960552	ADK	2002	2299
m75960590	ADK	463	612
m76153995	ADK	1035	1504
m76154033	ADK	1387	1782
p75960554	ADK	1168	611
p76074446	ADK	1036	1732
p76074475	ADK	396	200
p76074481	ADK	404	404
p76153940	ADK	2118	2103
p76154015	ADK	1421	1198
m77891006	ADNP2	25	295
p77875445	ADNP2	891	1167
p77875475	ADNP2	454	806
p77875482	ADNP2	761	1355
p77875499	ADNP2	719	1609
p77875511	ADNP2	1596	2475
p77890985	ADNP2	1784	2201
p77891013	ADNP2	833	1052
p77891042	ADNP2	662	956
p77891053	ADNP2	536	504
m49511043	ADNP	767	1226
m49518579	ADNP	2714	3762
m49518587	ADNP	2908	6245
m49520451	ADNP	1226	2328
m49520507	ADNP	2266	4913
p49510837	ADNP	534	970
p49510899	ADNP	3309	3466
p49510949	ADNP	900	1980
p49511011	ADNP	1039	1572
p49520498	ADNP	1649	1736
m36554512	ADPRHL2	1255	1717
m36554557	ADPRHL2	1204	1823
m36554563	ADPRHL2	1247	1066
m36554576	ADPRHL2	2075	2502
m36554620	ADPRHL2	388	130
p36554501	ADPRHL2	1071	1610
p36554520	ADPRHL2	2176	1591
p36554568	ADPRHL2	881	1510
p36554580	ADPRHL2	1481	1293
p36554606	ADPRHL2	84	355
m26722399	ADRA1A	597	857
m26722428	ADRA1A	108	322
m26722434	ADRA1A	1561	1900
m26722473	ADRA1A	1172	1094
p26722329	ADRA1A	2273	2416
p26722406	ADRA1A	1002	1190
p26722412	ADRA1A	1599	1443
p26722419	ADRA1A	793	647
p26722438	ADRA1A	1152	1461
p26722465	ADRA1A	1518	394
m159343921	ADRA1B	311	193
m159343926	ADRA1B	1834	1238
m159343934	ADRA1B	1632	1313
m159343996	ADRA1B	1458	1358
m159344001	ADRA1B	1398	1182
m159344006	ADRA1B	345	760
m159344028	ADRA1B	1475	1304
p159343905	ADRA1B	70	585
p159343912	ADRA1B	1522	1899
p159343940	ADRA1B	2012	2117
m115803922	ADRB1	616	620
m115803930	ADRB1	716	632
m115803938	ADRB1	1530	2374
m115803996	ADRB1	1119	700
m115804005	ADRB1	1255	1108
m115804012	ADRB1	1733	1233
m115804041	ADRB1	958	1752
m115804047	ADRB1	611	563
p115803878	ADRB1	2027	1533
p115803909	ADRB1	1120	1694
m148206406	ADRB2	1573	1390
m148206447	ADRB2	1395	1143
p148206408	ADRB2	2455	1785
p148206418	ADRB2	732	632
p148206432	ADRB2	939	939
p148206450	ADRB2	1514	932
p148206455	ADRB2	6329	7676
p148206462	ADRB2	1751	2621
p148206467	ADRB2	1030	1397
p148206474	ADRB2	664	626
m37823829	ADRB3	1095	887
m37823842	ADRB3	0	242
m37823867	ADRB3	398	767
m37823894	ADRB3	3426	3963
p37823813	ADRB3	837	792
p37823900	ADRB3	443	359
p37823908	ADRB3	1162	1331
p37823913	ADRB3	833	744
p37823952	ADRB3	2409	2329
p37823958	ADRB3	2208	2013
m67034181	ADRBK1	3797	2735
m67034219	ADRBK1	1538	1746
m67034242	ADRBK1	2437	2655
m67034255	ADRBK1	1179	2293
p67034160	ADRBK1	1697	2000
p67034166	ADRBK1	2522	2840
p67034172	ADRBK1	2344	2162
p67034193	ADRBK1	2599	2217
p67034199	ADRBK1	2345	2230
p67034261	ADRBK1	505	1103
m25961078	ADRBK2	789	926
m25961092	ADRBK2	2086	3062
m25961108	ADRBK2	1434	1217
m26000349	ADRBK2	917	455
m26000370	ADRBK2	906	740
m26057580	ADRBK2	1917	1560
p25960997	ADRBK2	1961	1439
p25961098	ADRBK2	1717	1821
p26040592	ADRBK2	410	1075
p26057601	ADRBK2	2744	3634
m60878634	ADRM1	690	623
m60878651	ADRM1	891	915
m60878679	ADRM1	2696	2532
p60878615	ADRM1	280	783
p60878642	ADRM1	112	789
p60878671	ADRM1	488	546
p60878682	ADRM1	1256	1923
p60878687	ADRM1	680	90
p60878704	ADRM1	576	565
p60878730	ADRM1	622	1086
m44144289	AEBP1	2582	3782
m44144302	AEBP1	786	1505
m44144319	AEBP1	775	1012
m44144326	AEBP1	2562	2633
m44144338	AEBP1	1099	513
m44144355	AEBP1	1602	1473
p44144293	AEBP1	1571	2284
p44144306	AEBP1	1463	891
p44144347	AEBP1	1087	1375
p44144359	AEBP1	916	1847
m19615484	AEBP2	511	716
m19615553	AEBP2	1372	1392
m19615572	AEBP2	1156	1354
m19615578	AEBP2	1301	1044
p19615440	AEBP2	1392	1934
p19615465	AEBP2	252	143
p19615492	AEBP2	640	1437
p19615498	AEBP2	990	1441
p19615544	AEBP2	1167	1352
p19615557	AEBP2	2226	1828
m89169460	AEN	2182	1989
m89169478	AEN	2392	572
m89169484	AEN	1547	1436
m89169489	AEN	278	214
m89169495	AEN	1322	685
m89169500	AEN	1175	861
m89169507	AEN	528	1381
m89169544	AEN	800	689
p89169516	AEN	2722	1738
p89169534	AEN	2356	790
m3056311	AES	1414	2030
m3056337	AES	1812	2204
m3057678	AES	1183	1776
m3057717	AES	1487	2171
m3061159	AES	1586	1251
m3061215	AES	1912	1476
p3056318	AES	1264	1467
p3061179	AES	179	695
p3061186	AES	269	806
p3061195	AES	1323	339
m116092987	AFAP1L2	1008	1705
m116093045	AFAP1L2	1193	1342
m116100394	AFAP1L2	1363	906
m116100466	AFAP1L2	775	934
p116092995	AFAP1L2	1418	1489
p116100376	AFAP1L2	593	940
p116100409	AFAP1L2	3685	2371
p116100418	AFAP1L2	1090	1162
p116100433	AFAP1L2	549	378
p116164194	AFAP1L2	961	965
m87967374	AFF1	270	664
m87967382	AFF1	229	920
m87967432	AFF1	234	376
m87967920	AFF1	1733	1106
m87967978	AFF1	595	1219
p87967338	AFF1	1309	2027
p87967353	AFF1	1522	2879
p87967869	AFF1	1911	1568
p87967890	AFF1	835	2301
p87967926	AFF1	2082	1397
m147891407	AFF2	431	1053
m147891412	AFF2	1329	1264
m147891420	AFF2	183	320
m147924509	AFF2	50	201
m147924918	AFF2	1261	4264
m147924923	AFF2	588	318
m147967463	AFF2	1474	1929
m147967470	AFF2	1417	2796
p147891422	AFF2	593	530
p147967406	AFF2	2176	2168
m100623802	AFF3	207	324
m100623914	AFF3	178	388
m100625275	AFF3	962	902
m100625319	AFF3	1515	1741
m100625326	AFF3	825	1101
m100625363	AFF3	801	533
p100623773	AFF3	2494	1487
p100623814	AFF3	968	2285
p100623867	AFF3	1053	1051
p100623873	AFF3	690	368
m132272813	AFF4	1198	2157
m132272826	AFF4	3211	3711
m132272833	AFF4	1731	2189
m132272841	AFF4	448	1402
m132272866	AFF4	2232	2605
p132272747	AFF4	115	579
p132272762	AFF4	1139	1059
p132272771	AFF4	1818	2643
p132272844	AFF4	1920	2421
p132272853	AFF4	1400	1598
m76183481	AFMID	978	1588
m76183493	AFMID	349	365
m76187074	AFMID	803	543
m76187079	AFMID	866	440
p76183445	AFMID	1487	1754
p76183450	AFMID	962	1761
p76183465	AFMID	504	414
p76183473	AFMID	1321	746
p76187060	AFMID	1105	1222
p76187082	AFMID	1274	1548
m64778617	AFTPH	385	65
m64778646	AFTPH	1310	2559
m64778724	AFTPH	168	117
m64778773	AFTPH	367	335
m64778841	AFTPH	1696	967
m64778905	AFTPH	981	1187
p64778649	AFTPH	2103	2885
p64778713	AFTPH	2447	1747
p64778754	AFTPH	1208	1349
