sgRNA_id gene_id list adjusted_ratio
p180471256 ACBD6 list 0.528758
p180471263 ACBD6 list -0.131179
p180471279 ACBD6 list -0.647709
p180471286 ACBD6 list -1.523726
p180471344 ACBD6 list 0.509125
p180471350 ACBD6 list 0.255771
m67694254 ACD list 0.344454
m67694260 ACD list -0.883915
m67694316 ACD list 0.130264
m67694376 ACD list 0.283074
p67694194 ACD list 0.037898
p67694285 ACD list 0.308016
p67694333 ACD list 0.944311
p67694350 ACD list 0.505248
p67694355 ACD list -0.400349
p67694362 ACD list 0.086499
m100491721 ACHE list -0.708253
m100491729 ACHE list -0.438464
m100491735 ACHE list -0.122661
m100491767 ACHE list -0.187030
m100491773 ACHE list 0.760291
m100491779 ACHE list 0.999163
m100491816 ACHE list -0.035373
p100491631 ACHE list 0.141366
p100491656 ACHE list 1.321497
p100491821 ACHE list -0.078134
m23535193 ACIN1 list 0.656691
m23538698 ACIN1 list -3.061607
m23538715 ACIN1 list 0.530693
m23538803 ACIN1 list -3.001228
m23538815 ACIN1 list -1.075848
p23538701 ACIN1 list -0.065669
p23538719 ACIN1 list -0.281114
p23538730 ACIN1 list -0.578634
p23538735 ACIN1 list -0.765373
p23538745 ACIN1 list -0.863568
m40069993 ACLY list -1.434753
m40070008 ACLY list 0.266612
m40070029 ACLY list -0.157786
m40070097 ACLY list -0.023062
m40070116 ACLY list -0.650875
p40069998 ACLY list 0.185766
p40070033 ACLY list -1.871553
p40070039 ACLY list 2.003843
p40070062 ACLY list -0.092543
p40070105 ACLY list 0.145754
m41865159 ACO2 list -1.474200
m41895784 ACO2 list 0.358636
m41895810 ACO2 list -0.516990
m41895824 ACO2 list 1.561050
m41903807 ACO2 list -0.198268
p41865164 ACO2 list -0.573281
p41895716 ACO2 list 0.374751
p41895844 ACO2 list 0.829480
p41903797 ACO2 list -1.215432
p41903813 ACO2 list -1.374601
m264983 ACP1 list 0.590657
m264989 ACP1 list -1.097702
m272095 ACP1 list 1.095897
m272137 ACP1 list -0.670543
p264954 ACP1 list 0.797457
p272032 ACP1 list -0.234651
p272042 ACP1 list -0.081006
p272054 ACP1 list 1.672856
p272099 ACP1 list 0.593396
p272185 ACP1 list 0.710034
m70811980 ACRC list 1.437475
m70814198 ACRC list -0.285315
p70800656 ACRC list 0.214366
p70800697 ACRC list 0.953575
p70800703 ACRC list -1.616773
p70800708 ACRC list -0.149512
p70811990 ACRC list 1.042865
p70814182 ACRC list -0.703392
p70814187 ACRC list -0.111377
p70814200 ACRC list 0.409373
m131326625 ACSL6 list -0.938184
m131326630 ACSL6 list 1.087320
m131326651 ACSL6 list 0.649409
m131329874 ACSL6 list -1.303410
m131329908 ACSL6 list -0.444228
p131329816 ACSL6 list -0.682771
p131329824 ACSL6 list -2.967257
p131329830 ACSL6 list -0.360503
p131329859 ACSL6 list 0.108085
p131329878 ACSL6 list 0.327288
m33470722 ACSS2 list -0.652251
m33500924 ACSS2 list -0.524988
m33500940 ACSS2 list 2.174190
m33500955 ACSS2 list 1.152594
m33501214 ACSS2 list 1.593870
m33501222 ACSS2 list -0.316505
p33470688 ACSS2 list 1.058380
p33500893 ACSS2 list 0.640259
p33500928 ACSS2 list -0.244835
p33501184 ACSS2 list -0.413064
m179287950 ACTL6A list -0.185522
m179287986 ACTL6A list 0.400888
p179287878 ACTL6A list 1.247943
p179287892 ACTL6A list 0.936100
p179287902 ACTL6A list 0.201456
p179287911 ACTL6A list -1.468085
p179287920 ACTL6A list -0.719278
p179287966 ACTL6A list -1.440656
p179287976 ACTL6A list -1.914431
p179291144 ACTL6A list 1.504188
m100253076 ACTL6B list -1.220856
m100253081 ACTL6B list 0.274979
m100253086 ACTL6B list -0.030081
m100253168 ACTL6B list 2.064103
m100253443 ACTL6B list -0.622182
m100253971 ACTL6B list 1.771782
p100253037 ACTL6B list 1.891731
p100253066 ACTL6B list -0.375046
p100253094 ACTL6B list -1.966675
p100253446 ACTL6B list -1.685812
m111624641 ACTL7A list 0.477816
m111624669 ACTL7A list -0.376524
m111624684 ACTL7A list 0.156523
m111624726 ACTL7A list -0.427569
m111624736 ACTL7A list 0.453443
p111624607 ACTL7A list 1.605690
p111624631 ACTL7A list -0.090699
p111624686 ACTL7A list 1.326398
p111624691 ACTL7A list 0.751407
p111624699 ACTL7A list -1.011327
m69392359 ACTN1 list -0.992670
m69392382 ACTN1 list 1.325802
m69445694 ACTN1 list -1.880528
m69445700 ACTN1 list -0.273465
m69445718 ACTN1 list -1.084889
m69445724 ACTN1 list -0.705140
p69392370 ACTN1 list -0.120976
p69445679 ACTN1 list 0.086347
p69445708 ACTN1 list 0.127184
p69445745 ACTN1 list -0.299985
m39138399 ACTN4 list 0.663158
m39138430 ACTN4 list -0.013376
m39138527 ACTN4 list -1.071394
p39138381 ACTN4 list 0.467999
p39138403 ACTN4 list 1.090278
p39138433 ACTN4 list -0.210962
p39138459 ACTN4 list 0.693857
p39138465 ACTN4 list 0.338741
p39138476 ACTN4 list -0.220233
p39138482 ACTN4 list 0.036477
m104248862 ACTR1A list -0.284065
m104250350 ACTR1A list 0.341788
m104250365 ACTR1A list -0.000858
p104248833 ACTR1A list 1.254921
p104248866 ACTR1A list -1.043752
p104250290 ACTR1A list -2.082371
p104250304 ACTR1A list 0.044187
p104262351 ACTR1A list 2.997182
p104262374 ACTR1A list 0.700972
p104262383 ACTR1A list 0.840977
m114684932 ACTR3 list -1.791211
m114688941 ACTR3 list -1.988258
p114674498 ACTR3 list -0.695181
p114684915 ACTR3 list -0.397860
p114684941 ACTR3 list 0.371321
p114684946 ACTR3 list -1.412446
p114684953 ACTR3 list 1.753106
p114688931 ACTR3 list 0.855384
p114691883 ACTR3 list 0.289094
p114691894 ACTR3 list -0.707843
m37377141 ACTR5 list 0.185268
m37377155 ACTR5 list -0.800942
m37377161 ACTR5 list -1.347944
m37377171 ACTR5 list -0.271510
m37377189 ACTR5 list -2.240480
p37377163 ACTR5 list -1.651645
p37377178 ACTR5 list -1.042889
p37377198 ACTR5 list 1.009258
p37377204 ACTR5 list -0.028555
p37377211 ACTR5 list -0.792121
m53916047 ACTR8 list -2.587510
m53916057 ACTR8 list -2.094381
m53916067 ACTR8 list -1.080148
m53916073 ACTR8 list 1.605844
m53916081 ACTR8 list 0.582622
m53916091 ACTR8 list 1.851914
m53916096 ACTR8 list -0.461017
m53916103 ACTR8 list -1.002126
