sgRNA_id gene_id list adjusted_ratio
p197483355 FYTTD1 list 0.525291
p197483371 FYTTD1 list 0.702054
p197483386 FYTTD1 list 1.694283
p197495317 FYTTD1 list -1.043910
p197495332 FYTTD1 list -0.407044
p197495350 FYTTD1 list 0.006310
m3522995 FZR1 list -1.237473
m3523013 FZR1 list -1.477421
m3523022 FZR1 list -0.778701
m3523034 FZR1 list 0.822209
m3525906 FZR1 list -1.254820
m3525914 FZR1 list -1.767099
m3525919 FZR1 list -0.635920
p3522974 FZR1 list -0.021357
p3522985 FZR1 list 0.386709
p3525857 FZR1 list 0.062627
m31061580 G2E3 list 1.894515
m31062741 G2E3 list -1.396102
m31062746 G2E3 list 0.336327
p31050300 G2E3 list 0.377783
p31055999 G2E3 list -0.264528
p31058579 G2E3 list -0.727386
p31058618 G2E3 list -0.459154
p31058644 G2E3 list 0.681547
p31058668 G2E3 list 0.111920
p31061588 G2E3 list 0.346383
m151166206 G3BP1 list 0.527096
m151166261 G3BP1 list 1.298586
m151170486 G3BP1 list 1.715698
m151170498 G3BP1 list 0.152626
m151170508 G3BP1 list 1.559543
m151170525 G3BP1 list 2.271548
p151166234 G3BP1 list 0.140115
p151169935 G3BP1 list 0.290375
p151170515 G3BP1 list -0.315902
p151170535 G3BP1 list 0.726004
m153774252 G6PD list 0.047718
m153774260 G6PD list 0.827745
m153774285 G6PD list 0.819357
m153774321 G6PD list 0.327241
m153774332 G6PD list 2.159282
m153774339 G6PD list 1.238527
m153774346 G6PD list -0.515905
m153774357 G6PD list -0.762504
p153774270 G6PD list -0.535265
p153774324 G6PD list -1.629645
m27124531 GABPA list -0.304552
m27136618 GABPA list -0.121891
p27113964 GABPA list 1.102634
p27117643 GABPA list 1.144095
p27121409 GABPA list -0.742419
p27124523 GABPA list -0.341146
p27136606 GABPA list 0.219586
p27136627 GABPA list 0.187983
p27136892 GABPA list 0.384344
p27136908 GABPA list -2.128569
m50596230 GABPB1 list -0.404911
m50596259 GABPB1 list -1.852350
m50596275 GABPB1 list -1.879382
m50596295 GABPB1 list 1.631457
m50601889 GABPB1 list -1.779952
m50601978 GABPB1 list -0.469248
p50596219 GABPB1 list -0.209966
p50596261 GABPB1 list -1.330308
p50601881 GABPB1 list -0.656926
p50601967 GABPB1 list -0.935778
m151060718 GABPB2 list -0.591332
m151060758 GABPB2 list 0.196415
m151060765 GABPB2 list -0.504172
m151062897 GABPB2 list 0.743653
m151062904 GABPB2 list -0.738000
p151060652 GABPB2 list -0.391303
p151060661 GABPB2 list -0.882468
p151060669 GABPB2 list -1.008753
p151060721 GABPB2 list 1.018406
p151060728 GABPB2 list -0.747088
m47033935 GABRB1 list -0.272429
m47033943 GABRB1 list 1.282229
m47034012 GABRB1 list 0.589728
m47034441 GABRB1 list -0.561853
p47033709 GABRB1 list -0.025648
p47033726 GABRB1 list 0.376723
p47033951 GABRB1 list 0.480722
p47033967 GABRB1 list -0.550311
p47033986 GABRB1 list 0.168464
p47033997 GABRB1 list 0.527816
m68151730 GADD45A list -1.011357
m68151754 GADD45A list -0.874260
m68153342 GADD45A list 0.907532
m68153373 GADD45A list -0.337073
p68151164 GADD45A list -0.035567
p68151176 GADD45A list -0.502620
p68151199 GADD45A list 1.684027
p68151695 GADD45A list -0.284626
p68151756 GADD45A list 1.040680
p68153345 GADD45A list 0.208867
m2476570 GADD45B list 0.058843
m2476615 GADD45B list -1.315534
p2476343 GADD45B list -0.912984
p2476355 GADD45B list 1.586009
p2476370 GADD45B list 0.312406
p2476514 GADD45B list -0.193973
p2476526 GADD45B list 2.138045
p2476532 GADD45B list 0.634513
p2476559 GADD45B list -0.498356
p2476574 GADD45B list 1.381572
m13067835 GADD45GIP1 list -1.373330
m13067857 GADD45GIP1 list -0.444440
m13067974 GADD45GIP1 list -0.763206
m13067983 GADD45GIP1 list -0.815556
m13067991 GADD45GIP1 list 0.047846
m13068007 GADD45GIP1 list 2.295074
p13067844 GADD45GIP1 list -0.000587
p13067862 GADD45GIP1 list -0.946108
p13067946 GADD45GIP1 list -0.282486
p13067993 GADD45GIP1 list -0.590076
m92220056 GADD45G list 0.124452
m92220062 GADD45G list 0.658417
m92220075 GADD45G list 1.451646
m92220360 GADD45G list -0.290931
p92220023 GADD45G list -0.405894
p92220036 GADD45G list 0.464623
p92220041 GADD45G list 0.654299
p92220067 GADD45G list -0.761093
p92220331 GADD45G list -0.182706
p92220338 GADD45G list 0.096640
m925832 GAK list 0.592142
m925855 GAK list -2.635330
m925861 GAK list 0.150211
m925889 GAK list 0.465213
m925913 GAK list -0.683191
m925922 GAK list -0.426124
m925934 GAK list -0.847674
m925940 GAK list 0.692987
p925891 GAK list -0.633022
p925954 GAK list -1.220487
m166626914 GALNT3 list 0.576676
m166626952 GALNT3 list -0.284826
m166626990 GALNT3 list 1.087299
m166627051 GALNT3 list -0.667057
m166627056 GALNT3 list 0.576730
m166627068 GALNT3 list 0.149479
p166626852 GALNT3 list 0.050162
p166626858 GALNT3 list 0.702348
p166626863 GALNT3 list 0.353031
p166626902 GALNT3 list 0.798741
m6645848 GAPDH list -0.137518
m6645946 GAPDH list -0.139253
m6646327 GAPDH list -0.692611
m6646370 GAPDH list 0.144453
p6646256 GAPDH list 2.216180
p6646360 GAPDH list -0.849283
p6646803 GAPDH list -1.063706
p6647003 GAPDH list -0.943642
p6647094 GAPDH list 1.494308
p6647261 GAPDH list -2.173868
m110737385 GAR1 list 0.624445
m110737403 GAR1 list 0.029501
m110737409 GAR1 list 0.374282
p110737326 GAR1 list -0.734545
p110737338 GAR1 list -0.155809
p110737368 GAR1 list -1.046254
p110737389 GAR1 list 0.869513
p110737395 GAR1 list 0.781151
p110737425 GAR1 list 0.952095
p110737431 GAR1 list 1.194053
m89561474 GAS1 list -1.048747
m89561527 GAS1 list -0.057614
m89561602 GAS1 list -0.662567
m89561621 GAS1 list -0.019108
m89561674 GAS1 list 0.418251
p89561481 GAS1 list 0.363961
p89561497 GAS1 list -0.301759
p89561537 GAS1 list 0.002554
p89561543 GAS1 list -0.256894
p89561613 GAS1 list -0.132913
m29704135 GAS2L1 list -0.374042
m29704159 GAS2L1 list -2.085298
p29704088 GAS2L1 list -1.243740
p29704100 GAS2L1 list -0.799758
p29704106 GAS2L1 list -0.300820
p29704123 GAS2L1 list -1.007889
p29704142 GAS2L1 list -0.866087
p29704151 GAS2L1 list 0.855750
p29704163 GAS2L1 list 0.492300
p29704172 GAS2L1 list -1.918132
m34079806 GAS2L2 list -0.757181
m34079827 GAS2L2 list -2.317457
m34079836 GAS2L2 list -0.662375
m34079856 GAS2L2 list -1.723750
p34079780 GAS2L2 list 0.785952
p34079798 GAS2L2 list 1.104393
p34079809 GAS2L2 list -0.756904
p34079815 GAS2L2 list 0.209624
p34079841 GAS2L2 list -1.284427
p34079848 GAS2L2 list 0.281535
m100994183 GAS2L3 list 1.573933
m100994192 GAS2L3 list 0.940669
m100994222 GAS2L3 list 0.646281
m100994277 GAS2L3 list 0.488666
p100994172 GAS2L3 list 0.690191
p100994195 GAS2L3 list -0.713138
p100994201 GAS2L3 list 0.896570
p100994206 GAS2L3 list -1.060107
p100994232 GAS2L3 list 0.847009
p100994244 GAS2L3 list -0.223150
m22696435 GAS2 list -1.437262
m22696454 GAS2 list 0.057961
m22696459 GAS2 list -0.348702
m22696483 GAS2 list -0.451691
m22696494 GAS2 list 2.140447
p22696417 GAS2 list 0.901494
p22696427 GAS2 list 1.464697
p22696464 GAS2 list 0.183276
p22696513 GAS2 list 0.645657
p22696521 GAS2 list -0.050928
m114535401 GAS6 list 1.400107
m114535439 GAS6 list 0.312031
m114535608 GAS6 list 1.545200
p114535382 GAS6 list 0.606075
p114535390 GAS6 list 0.358964
p114535403 GAS6 list -0.687030
p114535442 GAS6 list 0.271403
p114535591 GAS6 list -0.551153
p114535616 GAS6 list -0.063892
p114535623 GAS6 list -0.942329
m9846543 GAS7 list 0.714840
m9850212 GAS7 list -0.434982
m9850234 GAS7 list -0.908847
p9850216 GAS7 list -1.556595
p9850241 GAS7 list 2.535747
p9850253 GAS7 list 1.241945
p9850259 GAS7 list 3.038515
p9862503 GAS7 list 0.476209
p9862547 GAS7 list -0.595983
p9862553 GAS7 list 1.752572
m48649565 GATA1 list -0.524369
m48649579 GATA1 list -0.073208
m48649621 GATA1 list 0.436592
m48649630 GATA1 list 0.939930
m48649665 GATA1 list -0.154917
m48649676 GATA1 list -0.620759
p48649507 GATA1 list 0.687832
p48649512 GATA1 list 0.418058
p48649585 GATA1 list 0.356336
p48649668 GATA1 list 1.521864
m128205741 GATA2 list -0.772211
m128205789 GATA2 list 1.349693
p128205728 GATA2 list 0.436302
p128205745 GATA2 list 0.262524
p128205768 GATA2 list 0.962526
p128205773 GATA2 list -1.357105
p128205812 GATA2 list -1.582339
p128205830 GATA2 list 0.357035
p128205838 GATA2 list 1.525916
p128205853 GATA2 list -0.010231
m8097619 GATA3 list -0.758481
m8097638 GATA3 list 2.286870
m8097666 GATA3 list 0.334952
m8097701 GATA3 list 0.652392
p8097608 GATA3 list -0.747431
p8097625 GATA3 list 0.012528
p8097668 GATA3 list -0.998688
p8097683 GATA3 list 1.063335
p8097704 GATA3 list -0.544901
p8097710 GATA3 list -1.754857
m11565822 GATA4 list -0.426022
m11565866 GATA4 list -1.035188
m11565890 GATA4 list 0.693253
m11565897 GATA4 list 0.650562
m11565918 GATA4 list -0.015579
m11565924 GATA4 list 0.712710
m11565929 GATA4 list -0.490497
m11565941 GATA4 list -0.104731
p11565814 GATA4 list -0.810500
p11565833 GATA4 list 1.232724
m61050500 GATA5 list -1.483313
m61050521 GATA5 list 0.342887
m61050558 GATA5 list -0.472030
m61050564 GATA5 list 0.877785
p61050464 GATA5 list -0.989903
p61050472 GATA5 list -0.444299
p61050479 GATA5 list 0.547310
p61050505 GATA5 list -0.985794
p61050511 GATA5 list 1.776233
p61050523 GATA5 list 1.352921
m19751154 GATA6 list 0.531329
m19751169 GATA6 list -0.354887
m19751184 GATA6 list -1.217930
m19751229 GATA6 list -0.029054
m19751277 GATA6 list 1.218121
p19751099 GATA6 list -0.196798
p19751106 GATA6 list 0.965207
p19751126 GATA6 list 1.009378
p19751172 GATA6 list 1.447305
p19751264 GATA6 list -0.273298
m92077044 GATAD1 list 1.234978
m92077049 GATAD1 list -0.341330
m92077057 GATAD1 list 0.773012
m92077064 GATAD1 list -0.130147
m92077095 GATAD1 list -0.373101
p92077030 GATAD1 list -0.822179
p92077080 GATAD1 list -0.110510
p92077087 GATAD1 list -0.194444
p92077097 GATAD1 list -0.652871
p92077124 GATAD1 list 0.777467
m19576174 GATAD2A list 2.439304
m19576304 GATAD2A list 0.785466
p19576158 GATAD2A list -0.606611
p19576182 GATAD2A list -0.367298
p19576195 GATAD2A list 0.802915
p19576204 GATAD2A list -0.115874
p19576262 GATAD2A list -0.708325
p19576272 GATAD2A list -2.149739
p19576288 GATAD2A list -1.723829
p19576295 GATAD2A list -0.598115
m153800566 GATAD2B list 0.906784
m153800605 GATAD2B list -0.384122
m153800620 GATAD2B list -1.063252
m153800651 GATAD2B list -0.951342
m153800741 GATAD2B list -1.248876
m153800771 GATAD2B list 0.118834
m153800778 GATAD2B list -0.083742
p153800607 GATAD2B list -0.800004
p153800623 GATAD2B list 0.558319
p153800743 GATAD2B list -0.823651
m89662806 GBP4 list -0.882939
m89662836 GBP4 list 0.299233
m89662850 GBP4 list 1.048281
m89662864 GBP4 list 1.206859
m89662870 GBP4 list -0.749068
m89662906 GBP4 list 0.300813
m89662960 GBP4 list -0.745736
m89664479 GBP4 list -0.103702
p89662912 GBP4 list 1.388113
p89664463 GBP4 list 0.340775
m237076460 GBX2 list 1.915309
m237076489 GBX2 list -0.960877
m237076531 GBX2 list 0.061570
m237076567 GBX2 list -0.664723
p237076389 GBX2 list -0.109242
p237076438 GBX2 list 0.601804
p237076446 GBX2 list -1.125598
p237076481 GBX2 list -0.072243
p237076533 GBX2 list -0.342334
p237076573 GBX2 list -0.634249
m38204020 GCAT list -2.017191
m38206040 GCAT list -0.753906
p38203962 GCAT list -0.236197
p38203972 GCAT list -0.352786
p38203990 GCAT list 0.506032
p38204024 GCAT list -0.611569
p38204037 GCAT list 0.827603
p38204045 GCAT list 0.882874
p38204083 GCAT list -0.074862
p38204136 GCAT list -0.874161
m109066126 GCC2 list -0.773866
m109066134 GCC2 list -0.103414
m109067498 GCC2 list -1.375354
m109067509 GCC2 list 3.483692
m109067523 GCC2 list -0.220356
p109066082 GCC2 list 1.724098
p109067538 GCC2 list 0.781823
p109067546 GCC2 list -0.640120
p109068886 GCC2 list 1.268946
p109068900 GCC2 list 1.112866
m75929333 GCFC2 list 0.274635
m75929339 GCFC2 list 0.642286
m75937894 GCFC2 list -0.995243
m75937914 GCFC2 list 1.677219
m75937922 GCFC2 list 1.368601
m75937972 GCFC2 list 1.021019
p75929353 GCFC2 list 3.063107
p75929389 GCFC2 list 0.119586
p75937853 GCFC2 list -0.132259
p75937865 GCFC2 list 0.977704
m55369220 GCH1 list -0.219617
m55369341 GCH1 list -1.802637
m55369356 GCH1 list -0.106703
m55369362 GCH1 list -0.717205
m55369373 GCH1 list 0.492302
p55369228 GCH1 list 0.811628
p55369234 GCH1 list 1.251972
p55369241 GCH1 list 1.458089
p55369264 GCH1 list -0.203795
p55369346 GCH1 list -0.865957
m41056379 GCHFR list -0.070112
m41056384 GCHFR list 0.887065
m41056389 GCHFR list 0.757677
m41056403 GCHFR list -1.556528
m41058036 GCHFR list -0.548431
p41056392 GCHFR list -0.754218
p41058009 GCHFR list -1.287990
p41058038 GCHFR list -1.171565
p41058062 GCHFR list -2.593627
p41058086 GCHFR list -0.868062
m27719812 GCKR list -1.221200
m27719819 GCKR list -1.093770
m27720137 GCKR list -0.789852
p27719756 GCKR list 0.599467
p27720095 GCKR list -0.340854
p27720103 GCKR list 0.570212
p27720121 GCKR list -0.634013
p27720145 GCKR list -1.275125
p27720188 GCKR list 0.456324
p27720214 GCKR list 0.404854
m44192968 GCK list -0.901041
m44192979 GCK list -0.213123
m44192986 GCK list -2.324491
m44192992 GCK list 1.027034
m44193013 GCK list 0.195268
m44193025 GCK list 0.187815
m44193031 GCK list 0.975190
m44193049 GCK list -2.188631
p44192998 GCK list 1.105160
p44193016 GCK list -0.091377
m52999022 GCM1 list -0.466284
m52999038 GCM1 list -0.909623
m52999055 GCM1 list -1.676593
m53010357 GCM1 list -1.121880
m53010384 GCM1 list -1.391459
p52999059 GCM1 list 0.708757
p52999066 GCM1 list 0.292300
p52999076 GCM1 list 0.170159
p52999086 GCM1 list -0.120211
p53010401 GCM1 list 0.209557
m10877595 GCM2 list 1.548990
m10881938 GCM2 list 0.007167
m10881965 GCM2 list 1.582231
m10881981 GCM2 list 1.131318
m10882001 GCM2 list 0.726067
m10882013 GCM2 list -0.234013
m10882019 GCM2 list 1.772734
p10877606 GCM2 list 1.120324
p10881928 GCM2 list -0.109443
p10881993 GCM2 list 0.864393
m39583517 GEMIN2 list 1.149034
m39583567 GEMIN2 list -0.684715
m39583587 GEMIN2 list -0.906806
m39583599 GEMIN2 list 0.095805
p39583499 GEMIN2 list 0.938717
p39583505 GEMIN2 list 1.289662
p39583538 GEMIN2 list 0.700128
p39583550 GEMIN2 list -0.654207
p39583602 GEMIN2 list -1.856106
p39583616 GEMIN2 list -2.061389
m39006159 GEMIN6 list -0.355573
m39006194 GEMIN6 list -0.176004
m39006205 GEMIN6 list -0.113814
m39006248 GEMIN6 list -0.090878
m39008667 GEMIN6 list 0.678741
p39006121 GEMIN6 list -1.113426
p39006167 GEMIN6 list 0.283473
p39006208 GEMIN6 list -1.718246
p39008683 GEMIN6 list -0.528335
p39008691 GEMIN6 list 0.997950
m45593384 GEMIN7 list 0.994956
m45593471 GEMIN7 list 0.294915
m45593497 GEMIN7 list -0.046907
m45593532 GEMIN7 list -0.030999
p45593388 GEMIN7 list 0.289804
p45593420 GEMIN7 list 1.785393
p45593476 GEMIN7 list 0.009163
p45593503 GEMIN7 list -0.073939
p45593512 GEMIN7 list -0.284976
p45593520 GEMIN7 list -1.523073
m14038349 GEMIN8 list -1.015476
m14038356 GEMIN8 list 0.645926
m14038380 GEMIN8 list 2.235170
m14038463 GEMIN8 list 1.223808
m14039584 GEMIN8 list 0.773381
p14038307 GEMIN8 list 2.608333
p14038489 GEMIN8 list 0.130852
p14038503 GEMIN8 list -0.166932
p14038512 GEMIN8 list -0.172510
p14038535 GEMIN8 list 1.715147
m95272637 GEM list -1.169245
m95272647 GEM list 0.145843
m95272668 GEM list -1.215955
m95272702 GEM list 0.825329
p95272561 GEM list 1.018976
p95272583 GEM list -0.657020
p95272595 GEM list -0.200687
p95272660 GEM list 0.071498
p95272682 GEM list -0.068647
p95272689 GEM list -1.053313
m17941264 GEN1 list -0.591814
m17941289 GEN1 list -0.836909
m17942735 GEN1 list -0.382064
p17941208 GEN1 list -0.552770
p17941299 GEN1 list -2.352380
p17942677 GEN1 list 0.713206
p17942705 GEN1 list 0.710550
p17942745 GEN1 list -1.432524
p17942757 GEN1 list 0.479618
p17942762 GEN1 list -0.741904
m135862071 GFI1B list -0.091521
m135862078 GFI1B list 1.215224
m135862120 GFI1B list 0.206898
m135862140 GFI1B list -1.293750
m135862673 GFI1B list 1.915001
m135862681 GFI1B list 0.126450
m135862688 GFI1B list 0.362024
m135862699 GFI1B list 1.671221
m135862705 GFI1B list -0.928086
p135862123 GFI1B list -0.159849
m92948583 GFI1 list 2.346145
p92948504 GFI1 list 1.088178
p92948526 GFI1 list -0.378018
p92948914 GFI1 list 0.897298
p92948919 GFI1 list 1.735202
p92948925 GFI1 list 0.708390
p92948941 GFI1 list 0.044710
p92948955 GFI1 list 0.894063
p92948961 GFI1 list -0.435919
p92949023 GFI1 list 0.510545
m34901621 GGNBP2 list -0.703637
m34901661 GGNBP2 list -2.125261
m34910678 GGNBP2 list 0.596760
p34901577 GGNBP2 list -3.105183
p34901582 GGNBP2 list -1.534149
p34901644 GGNBP2 list -1.686280
p34910693 GGNBP2 list -1.081955
p34910719 GGNBP2 list -0.870306
p34912907 GGNBP2 list 0.287041
p34912924 GGNBP2 list -0.959577
m38877761 GGN list -0.200368
m38877766 GGN list -1.633530
m38877807 GGN list 0.609551
m38877868 GGN list 1.112395
m38877873 GGN list -0.614546
p38877769 GGN list -0.230734
p38877779 GGN list 0.950092
p38877789 GGN list -1.100407
p38877798 GGN list 0.553666
p38877809 GGN list 0.057735
m40345484 GHDC list -0.312033
m40345518 GHDC list 2.489959
m40345526 GHDC list -1.279213
m40345533 GHDC list -0.041041
m40345553 GHDC list -0.820803
m40345590 GHDC list -0.016310
p40345488 GHDC list -0.356217
p40345497 GHDC list 0.108784
p40345505 GHDC list 1.221802
p40345537 GHDC list 0.438367
m31003708 GHRHR list -1.086938
m31003730 GHRHR list 0.044540
m31008459 GHRHR list 2.040822
m31008468 GHRHR list 0.556114
m31008488 GHRHR list -1.070861
p31003672 GHRHR list 1.762123
p31003678 GHRHR list 0.646731
p31008433 GHRHR list 0.654536
p31008477 GHRHR list 0.546001
p31008507 GHRHR list -0.436416
m42566004 GHR list 0.415453
m42689008 GHR list 1.155533
m42689018 GHR list 0.010945
m42689025 GHR list 0.083888
m42689055 GHR list 0.184713
p42565965 GHR list -1.420380
p42565984 GHR list 0.554792
p42565990 GHR list 0.627259
p42688980 GHR list 0.852049
p42689046 GHR list 0.711537
m61572875 GID8 list -0.277246
m61572928 GID8 list 0.252311
m61572964 GID8 list -3.467994
p61572880 GID8 list -0.365219
p61572943 GID8 list 0.955911
p61572950 GID8 list -0.537071
p61574327 GID8 list 0.028068
p61574336 GID8 list -2.024285
p61574351 GID8 list 0.440200
p61574358 GID8 list 1.843159
m233612330 GIGYF2 list -0.273712
m233612341 GIGYF2 list 0.413105
m233612363 GIGYF2 list -2.167626
m233612376 GIGYF2 list 0.767619
m233612385 GIGYF2 list -1.448720
m233612441 GIGYF2 list 2.050191
p233599916 GIGYF2 list -0.360569
p233599926 GIGYF2 list 1.551225
p233612322 GIGYF2 list -1.828547
p233612391 GIGYF2 list -0.400390
m150266999 GIMAP4 list -0.780787
m150267041 GIMAP4 list 0.606321
m150269215 GIMAP4 list -0.263202
m150269221 GIMAP4 list -0.124053
m150269236 GIMAP4 list 0.909713
m150269246 GIMAP4 list -0.358506
m150269310 GIMAP4 list 0.158486
p150266983 GIMAP4 list -0.580276
p150269204 GIMAP4 list -0.966885
p150269294 GIMAP4 list -0.556961
m150163814 GIMAP8 list -0.617217
m150163874 GIMAP8 list -0.238769
m150163901 GIMAP8 list -0.091966
m150163935 GIMAP8 list -0.573721
m150163953 GIMAP8 list -0.097701
m150164000 GIMAP8 list -1.060337
p150163799 GIMAP8 list 0.767888
p150163857 GIMAP8 list 0.473839
p150163925 GIMAP8 list -2.390639
p150163940 GIMAP8 list -1.124387
m25388475 GINS1 list -0.293433
m25388488 GINS1 list -0.455607
m25388507 GINS1 list -0.718623
m25394481 GINS1 list 0.083076
m25397779 GINS1 list 0.507367
p25388490 GINS1 list -0.274412
p25394410 GINS1 list 0.575285
p25394427 GINS1 list -1.593051
p25397734 GINS1 list 1.577414
p25398736 GINS1 list 0.727348
m85721074 GINS2 list -1.465869
m85722417 GINS2 list 0.069914
m85722470 GINS2 list 1.162183
m85722491 GINS2 list 0.386590
p85721095 GINS2 list 0.495618
p85721114 GINS2 list 0.514934
p85721136 GINS2 list 0.413262
p85722453 GINS2 list -1.060924
p85722458 GINS2 list -0.346135
p85722483 GINS2 list -0.882062
m58426506 GINS3 list 1.249508
m58426525 GINS3 list -0.082867
m58426550 GINS3 list 0.763297
m58426582 GINS3 list -2.077874
m58426590 GINS3 list 0.208991
m58426604 GINS3 list 0.436451
m58426623 GINS3 list -1.439076
p58426492 GINS3 list 0.123155
p58426513 GINS3 list 1.221902
p58426613 GINS3 list -1.544328
m41387783 GINS4 list 0.999088
m41387790 GINS4 list 1.128517
m41393905 GINS4 list 0.486353
m41393926 GINS4 list -1.066364
p41387714 GINS4 list 0.377201
p41387723 GINS4 list -1.226230
p41387729 GINS4 list 0.567824
p41387740 GINS4 list 1.903433
p41387795 GINS4 list -1.020527
p41393934 GINS4 list -2.249176
m110429494 GIT2 list -1.566752
m110429503 GIT2 list 0.934500
m110429541 GIT2 list 0.743334
m110429556 GIT2 list -1.140135
m110433979 GIT2 list 0.245813
m110433984 GIT2 list 0.295090
m110434004 GIT2 list 0.953735
m110434020 GIT2 list -0.407988
p110429546 GIT2 list -0.052750
p110434008 GIT2 list 1.594608
m131267085 GLE1 list 0.118066
m131267090 GLE1 list -1.896189
m131267115 GLE1 list 0.534337
m131267136 GLE1 list 0.751122
p131267074 GLE1 list 0.526422
p131267098 GLE1 list -0.821980
p131267120 GLE1 list 0.161854
p131267145 GLE1 list 0.676013
p131267154 GLE1 list -0.156244
p131267161 GLE1 list -0.981285
m57858896 GLI1 list 1.051809
m57858911 GLI1 list 1.021647
m57859024 GLI1 list -0.648830
m57859029 GLI1 list -0.405448
p57858881 GLI1 list 0.206400
p57858930 GLI1 list -0.303076
p57858994 GLI1 list -0.269332
p57859016 GLI1 list 0.251880
p57859391 GLI1 list 0.292116
p57859405 GLI1 list 0.675856
m121554912 GLI2 list -0.355747
m121554918 GLI2 list 0.551779
m121554924 GLI2 list 0.909389
m121554993 GLI2 list -0.734003
m121554998 GLI2 list -0.448246
m121555038 GLI2 list 0.694997
m121684941 GLI2 list -0.367740
p121554944 GLI2 list -1.273876
p121554985 GLI2 list 0.059617
p121555019 GLI2 list 1.034912
m42187994 GLI3 list 0.837138
m42188054 GLI3 list 0.122317
p42188033 GLI3 list 0.910776
p42262717 GLI3 list -0.999050
p42262723 GLI3 list -0.239964
p42262732 GLI3 list 0.907754
p42262759 GLI3 list 0.662830
p42262774 GLI3 list -2.142801
p42262815 GLI3 list 1.093332
p42262821 GLI3 list 1.848767
m144351613 GLI4 list -0.210851
m144351632 GLI4 list 1.126776
m144351641 GLI4 list -0.280685
m144351648 GLI4 list 0.306056
m144351655 GLI4 list -2.002133
m144351676 GLI4 list -0.508734
p144351557 GLI4 list -0.625712
p144351620 GLI4 list 0.698015
p144351657 GLI4 list 0.187824
p144351668 GLI4 list 0.253942
m54060505 GLIS1 list 0.432892
m54060538 GLIS1 list -0.921101
m54060568 GLIS1 list 0.484519
p54060475 GLIS1 list 0.050007
p54060484 GLIS1 list 0.639687
p54060489 GLIS1 list 0.336985
p54060496 GLIS1 list 0.448607
p54060510 GLIS1 list -1.491652
p54060541 GLIS1 list 2.146577
p54060554 GLIS1 list 0.456818
m4382282 GLIS2 list -0.108895
m4382291 GLIS2 list 0.492501
m4382302 GLIS2 list 0.550491
m4382310 GLIS2 list -0.167714
m4382327 GLIS2 list -0.789075
p4382312 GLIS2 list -0.119181
p4382330 GLIS2 list -1.635070
p4382336 GLIS2 list 0.447672
p4382343 GLIS2 list -0.041376
p4382349 GLIS2 list -1.455175
m4125735 GLIS3 list -0.720503
m4125779 GLIS3 list -0.721805
m4125821 GLIS3 list 1.212102
p4118862 GLIS3 list 1.157821
p4125724 GLIS3 list 0.333330
p4125737 GLIS3 list 0.468222
p4125769 GLIS3 list 1.312362
p4125800 GLIS3 list 0.501409
p4125808 GLIS3 list 1.644747
p4125843 GLIS3 list 0.903672
m193066762 GLRX2 list -0.041953
m193066778 GLRX2 list -0.044901
m193066784 GLRX2 list -1.725958
m193066868 GLRX2 list -0.295494
m193070293 GLRX2 list 0.451339
m193070308 GLRX2 list 0.852760
p193066751 GLRX2 list -0.494779
p193066790 GLRX2 list -0.016988
p193066824 GLRX2 list 0.467741
p193070257 GLRX2 list -1.287457
m96001439 GLRX5 list -1.588899
m96001446 GLRX5 list 0.896711
p96001411 GLRX5 list 0.511316
p96001420 GLRX5 list -0.877919
p96001431 GLRX5 list 0.757429
p96001448 GLRX5 list 1.433728
p96001539 GLRX5 list 1.045554
p96001548 GLRX5 list -0.116022
p96001557 GLRX5 list 0.999775
p96001563 GLRX5 list 1.210971
m48248897 GLTSCR2 list -0.812189
m48250222 GLTSCR2 list -1.396299
m48253504 GLTSCR2 list -1.398418
m48253510 GLTSCR2 list -1.173635
p48248863 GLTSCR2 list 0.552547
p48248932 GLTSCR2 list -0.862933
p48248953 GLTSCR2 list 0.219925
p48248962 GLTSCR2 list -0.255299
p48249017 GLTSCR2 list -1.205862
p48250259 GLTSCR2 list -0.078898
m4895138 GLYR1 list -0.518704
m4896176 GLYR1 list -0.005633
m4896181 GLYR1 list 0.363456
m4896186 GLYR1 list -1.050450
m4897230 GLYR1 list -1.936233
m4897235 GLYR1 list -0.590787
m4897243 GLYR1 list -1.566656
m4897248 GLYR1 list -0.305598
p4896160 GLYR1 list 0.911835
p4896166 GLYR1 list -1.172253
m150632776 GM2A list 0.898571
m150632802 GM2A list 0.634382
m150639314 GM2A list 0.302989
m150639340 GM2A list -0.262101
m150639368 GM2A list 0.289720
m150639405 GM2A list 0.191421
m150639417 GM2A list 0.108295
p150632809 GM2A list 1.171366
p150639371 GM2A list 1.223034
p150639419 GM2A list 0.556169
m70057044 GMCL1 list -0.416607
m70057056 GMCL1 list 0.392780
m70057076 GMCL1 list -0.263800
m70057146 GMCL1 list -0.085727
p70057022 GMCL1 list 1.058307
p70057059 GMCL1 list -0.702494
p70057065 GMCL1 list 1.551246
p70057078 GMCL1 list -0.044640
p70057119 GMCL1 list 1.188514
p70057126 GMCL1 list 1.469206
m29010241 GMEB1 list 0.464602
p29010132 GMEB1 list -0.361269
p29010160 GMEB1 list 0.003721
p29010169 GMEB1 list -0.574277
p29010229 GMEB1 list -0.292076
p29016607 GMEB1 list -0.151989
p29016612 GMEB1 list -1.935112
p29016624 GMEB1 list 0.891269
p29018100 GMEB1 list -1.240945
